#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
red-and-green macaw|Ara chloropterus|Psittaciformes|Psittacidae|Ara|chloropterus|554898|Avian
scarlet macaw|Ara macao|Psittaciformes|Psittacidae|Ara|macao|177665|Avian
Military macaw|Ara militaris|Psittaciformes|Psittacidae|Ara|militaris|554897|Avian
macaw|Ara sp.|Psittaciformes|Psittacidae|Ara|Unknown|177659|Avian
little spiderhunter|Arachnothera longirostra|Passeriformes|Nectariniidae|Arachnothera|longirostra|558738|Avian
Aztec parakeet|Aratinga nana astec|Psittaciformes|Psittaculidae|Aratinga|nana astec|714493|Avian
parakeet|Aratinga sp.|Psittaciformes|Psittaculidae|Aratinga|Unknown|177672|Avian
scaly-breasted partridge|Arborophila charltonii|Galliformes|Phasianidae|Arborophila|charltonii|553876|Avian
ruby-throated hummingbird|Archilochus colubris|Apodiformes|Trochilidae|Archilochus|colubris|178032|Avian
Guadalupe fur seal|Arctocephalus townsendi|Carnivora|Otariidae|Arctocephalus|townsendi|180636|Non-human Mammal
great egret|Ardea alba|Pelecaniformes|Ardeidae|Ardea|alba|554135|Avian
great white egret|Ardea alba melanorhynchos|Pelecaniformes|Ardeidae|Ardea|alba melanorhynchos|726063|Avian
grey heron|Ardea cinerea|Pelecaniformes|Ardeidae|Ardea|cinerea|174781|Avian
Cocoi heron|Ardea cocoi|Pelecaniformes|Ardeidae|Ardea|cocoi|174783|Avian
great blue heron|Ardea herodias|Pelecaniformes|Ardeidae|Ardea|herodias|174773|Avian
purple heron|Ardea purpurea|Pelecaniformes|Ardeidae|Ardea|purpurea|174791|Avian
heron|Ardea sp.|Pelecaniformes|Ardeidae|Ardea|Unknown|174772|Avian
heron|Ardeidae|Pelecaniformes|Ardeidae|Unknown|Unknown|174771|Avian
Chinese pond heron|Ardeola bacchus|Pelecaniformes|Ardeidae|Ardeola|bacchus|174861|Avian
Chinese pond heron-Javan pond heron hybrid|Ardeola bacchus x Ardeola specios|Pelecaniformes|Ardeidae|Ardeola|bacchus|NA|Avian
Indian pond-heron|Ardeola grayii|Pelecaniformes|Ardeidae|Ardeola|grayii|174862|Avian
squacco heron|Ardeola ralloides|Pelecaniformes|Ardeidae|Ardeola|ralloides|174864|Avian
pond heron|Ardeola sp.|Pelecaniformes|Ardeidae|Ardeola|Unknown|174860|Avian
ruddy turnstone|Arenaria interpres|Charadriiformes|Scolopacidae|Arenaria|interpres|176571|Avian
turnstone|Arenaria sp.|Charadriiformes|Scolopacidae|Arenaria|Unknown|176569|Avian
pectoral sparrow|Arremon taciturnus|Passeriformes|Emberizidae|Arremon|taciturnus|558751|Avian
olive sparrow|Arremonops rufivirgatus|Passeriformes|Emberizidae|Arremonops|rufivirgatus|179271|Avian
short-eared owl|Asio flammeus|Strigiformes|Strigidae|Asio|flammeus|177935|Avian
long-eared owl|Asio otus|Strigiformes|Strigidae|Asio|otus|177932|Avian
African hedgehog|Atelerix sp.|Erinaceomorpha|Erinaceidae|Atelerix|Unknown|633445|Non-human Mammal
spotted owlet|Athene brama|Strigiformes|Strigidae|Athene|brama|555472|Avian
burrowing owl|Athene cunicularia|Strigiformes|Strigidae|Athene|cunicularia|177946|Avian
little owl|Athene noctua|Strigiformes|Strigidae|Athene|noctua|555471|Avian
yellow-throated greenbul|Atimastillas flavicollis|Passeriformes|Pycnonotidae|Atimastillas|flavicollis|916222|Avian
yellow-throated leaflove|Atimastillas flavicollis|Passeriformes|Pycnonotidae|Atimastillas|flavicollis|916222|Avian
bird|Aves|Aves|Unknown|Unknown|Unknown|174371|Avian
lesser scaup|Aythya affinis|Anseriformes|Anatidae|Aythya|affinis|175134|Avian
redhead duck|Aythya americana|Anseriformes|Anatidae|Aythya|americana|175125|Avian
hardhead|Aythya australis|Anseriformes|Anatidae|Aythya|australis|175136|Avian
ring-necked duck|Aythya collaris|Anseriformes|Anatidae|Aythya|collaris|175128|Avian
common pochard|Aythya ferina|Anseriformes|Anatidae|Aythya|ferina|175126|Avian
tufted duck|Aythya fuligula|Anseriformes|Anatidae|Aythya|fuligula|175135|Avian
greater scaup|Aythya marila|Anseriformes|Anatidae|Aythya|marila|175130|Avian
ferruginous duck|Aythya nyroca|Anseriformes|Anatidae|Aythya|nyroca|175139|Avian
scaup|Aythya sp.|Anseriformes|Anatidae|Aythya|Unknown|175124|Avian
canvasback duck|Aythya valisineria|Anseriformes|Anatidae|Aythya|valisineria|175129|Avian
tufted titmouse|Baeolophus bicolor|Passeriformes|Paridae|Baeolophus|bicolor|554138|Avian
minke whale|Balaenoptera acutorostrata|Cetacea|Balaenopteridae|Balaenoptera|acutorostrata|180524|Non-human Mammal
fin whale|Balaenoptera physalus|Cetacea|Balaenopteridae|Balaenoptera|physalus|180527|Non-human Mammal
black-headed batis|Batis minor|Passeriformes|Platysteiridae|Batis|minor|558887|Avian
eastern black-headed batis|Batis minor|Passeriformes|Platysteiridae|Batis|minor|558887|Avian
short-nosed rat kangaroo|Bettongia sp.|Diprotodontia|Potoroidae|Bettongia|Unknown|552438|Non-human Mammal
lesser bristlebill|Bleda notatus|Passeriformes|Pycnonotidae|Bleda|notatus|916226|Avian
common bristlebill|Bleda syndactylus|Passeriformes|Pycnonotidae|Bleda|syndactylus|916224|Avian
cedar waxwing|Bombycilla cedrorum|Passeriformes|Bombycillidae|Bombycilla|cedrorum|178532|Avian
ruffed grouse|Bonasa umbellus|Galliformes|Phasianidae|Bonasa|umbellus|175790|Avian
cow|Bos taurus|Artiodactyla|Bovidae|Bos|taurus|183838|Non-human Mammal
Eurasian bittern|Botaurus stellaris|Pelecaniformes|Ardeidae|Botaurus|stellaris|174859|Avian
cattle|Bovidae|Artiodactyla|Bovidae|Unknown|Unknown|180704|Non-human Mammal
small ruminant|Bovidae|Artiodactyla|Bovidae|Unknown|Unknown|180704|Non-human Mammal
marbled murrelet|Brachyramphus marmoratus|Charadriiformes|Alcidae|Brachyramphus|marmoratus|176996|Avian
pale flycatcher|Bradornis pallidus|Passeriformes|Muscicapidae|Bradornis|pallidus|558918|Avian
three-toed sloth|Bradypus sp.|Pilosa|Bradypodidae|Bradypus|Unknown|624874|Non-human Mammal
brant|Branta bernicla|Anseriformes|Anatidae|Branta|bernicla|175011|Avian
Brent goose|Branta bernicla|Anseriformes|Anatidae|Branta|bernicla|175011|Avian
Canada goose|Branta canadensis|Anseriformes|Anatidae|Branta|canadensis|174999|Avian
giant Canada goose|Branta canadensis maxima|Anseriformes|Anatidae|Branta|canadensis maxima|175002|Avian
dusky Canada goose|Branta canadensis occidentalis|Anseriformes|Anatidae|Branta|canadensis occidentalis|175006|Avian
Canada goose-mallard duck hybrid|Branta canadensis x Anas platyrhynchos|Anseriformes|Anatidae|Branta|canadensis|NA|Avian
Canada goose-domestic goose hybrid|Branta canadensis x Anser sp.|Anseriformes|Anatidae|Branta|canadensis|NA|Avian
cackling goose|Branta hutchinsii|Anseriformes|Anatidae|Branta|hutchinsii|714068|Avian
barnacle goose|Branta leucopsis|Anseriformes|Anatidae|Branta|leucopsis|175014|Avian
red-breasted goose|Branta ruficollis|Anseriformes|Anatidae|Branta|ruficollis|175015|Avian
Hawaiian goose|Branta sandvicensis|Anseriformes|Anatidae|Branta|sandvicensis|175016|Avian
orange-chinned parakeet|Brotogeris jugularis|Psittaciformes|Psittacidae|Brotogeris|jugularis|177741|Avian
water buffalo|Bubalus bubalis|Artiodactyla|Bovidae|Bubalus|bubalis|552476|Non-human Mammal
Eurasian eagle-owl|Bubo bubo|Strigiformes|Strigidae|Bubo|bubo|555404|Avian
Magellanic horned owl|Bubo magellanicus|Strigiformes|Strigidae|Bubo|magellanicus|686684|Avian
snowy owl|Bubo scandiacus|Strigiformes|Strigidae|Bubo|scandiacus|686683|Avian
great horned owl|Bubo virginianus|Strigiformes|Strigidae|Bubo|virginianus|177884|Avian
cattle egret|Bubulcus ibis|Ciconiiformes|Ardeidae|Bubulcus|ibis|174803|Avian
bufflehead|Bucephala albeola|Anseriformes|Anatidae|Bucephala|albeola|175145|Avian
common goldeneye|Bucephala clangula|Anseriformes|Anatidae|Bucephala|clangula|175141|Avian
Barrow's goldeneye|Bucephala islandica|Anseriformes|Anatidae|Bucephala|islandica|175144|Avian
goldeneye|Bucephala sp.|Anseriformes|Anatidae|Bucephala|Unknown|175140|Avian
stone-curlew|Burhinidae|Charadriiformes|Burhinidae|Unknown|Unknown|176744|Avian
spotted thick-knee|Burhinus capensis|Charadriiformes|Burhinidae|Burhinus|capensis|176747|Avian
Eurasian thick-knee|Burhinus oedicnemus|Charadriiformes|Burhinidae|Burhinus|oedicnemus|176749|Avian
common buzzard|Buteo buteo|Accipitriformes|Accipitridae|Buteo|buteo|175383|Avian
red-tailed hawk|Buteo jamaicensis|Accipitriformes|Accipitridae|Buteo|jamaicensis|175350|Avian
red-shouldered hawk|Buteo lineatus|Accipitriformes|Accipitridae|Buteo|lineatus|175359|Avian
broad-winged hawk|Buteo platypterus|Accipitriformes|Accipitridae|Buteo|platypterus|175365|Avian
striated heron|Butorides striata|Pelecaniformes|Ardeidae|Butorides|striata|726050|Avian
green heron|Butorides virescens|Pelecaniformes|Ardeidae|Butorides|virescens|174793|Avian
sulphur-crested cockatoo|Cacatua galerita|Psittaciformes|Cacatuidae|Cacatua|galerita|177815|Avian
little corella|Cacatua sanguinea|Psittaciformes|Psittacidae|Cacatua|sanguinea|554845|Avian
cockatoo|Cacatua sp.|Psittaciformes|Psittaculidae|Cacatua|Unknown|177814|Avian
plaintive cuckoo|Cacomantis merulinus|Cuculiformes|Cuculidae|Cacomantis|merulinus|554692|Avian
Muscovy duck|Cairina moschata|Anseriformes|Anatidae|Cairina|moschata|175246|Avian
mule duck|Cairina moschata x Anas platyrhynchos|Anseriformes|Anatidae|Cairina|moschata|NA|Avian
lapland longspur|Calcarius lapponicus|Passeriformes|Calcariidae|Calcarius|lapponicus|179526|Avian
sharp-tailed sandpiper|Calidris acuminata|Charadriiformes|Scolopacidae|Calidris|acuminata|176652|Avian
sanderling|Calidris alba|Charadriiformes|Scolopacidae|Calidris|alba|176669|Avian
dunlin|Calidris alpina|Charadriiformes|Scolopacidae|Calidris|alpina|176661|Avian
Baird's sandpiper|Calidris bairdii|Charadriiformes|Scolopacidae|Calidris|bairdii|176655|Avian
red knot|Calidris canutus|Charadriiformes|Scolopacidae|Calidris|canutus|176642|Avian
curlew sandpiper|Calidris ferruginea|Charadriiformes|Scolopacidae|Calidris|ferruginea|176660|Avian
white-rumped sandpiper|Calidris fuscicollis|Charadriiformes|Scolopacidae|Calidris|fuscicollis|176654|Avian
stilt sandpiper|Calidris himantopus|Charadriiformes|Scolopacidae|Calidris|himantopus|554145|Avian
purple sandpiper|Calidris maritima|Charadriiformes|Scolopacidae|Calidris|maritima|176646|Avian
western sandpiper|Calidris mauri|Charadriiformes|Scolopacidae|Calidris|mauri|176668|Avian
pectoral sandpiper|Calidris melanotos|Charadriiformes|Scolopacidae|Calidris|melanotos|176653|Avian
little stint|Calidris minuta|Charadriiformes|Scolopacidae|Calidris|minuta|176670|Avian
least sandpiper|Calidris minutilla|Charadriiformes|Scolopacidae|Calidris|minutilla|176656|Avian
semipalmated sandpiper|Calidris pusilla|Charadriiformes|Scolopacidae|Calidris|pusilla|176667|Avian
red-necked stint|Calidris ruficollis|Charadriiformes|Scolopacidae|Calidris|ruficollis|176659|Avian
knot|Calidris sp.|Charadriiformes|Scolopacidae|Calidris|Unknown|176641|Avian
sandpiper|Calidris sp.|Charadriiformes|Scolopacidae|Calidris|Unknown|176641|Avian
long-toed stint|Calidris subminuta|Charadriiformes|Scolopacidae|Calidris|subminuta|176657|Avian
Temminck's stint|Calidris temminckii|Charadriiformes|Scolopacidae|Calidris|temminckii|176658|Avian
great knot|Calidris tenuirostris|Charadriiformes|Scolopacidae|Calidris|tenuirostris|176645|Avian
ringed teal|Callonetta leucophrys|Anseriformes|Anatidae|Callonetta|leucophrys|553914|Avian
northern fur seal|Callorhinus ursinus|Carnivora|Otariidae|Callorhinus|ursinus|180627|Non-human Mammal
white-throated magpie-jay|Calocitta formosa|Passeriformes|Corvidae|Calocitta|formosa|558993|Avian
Cory's shearwater|Calonectris diomedea|Procellariiformes|Procellariidae|Calonectris|diomedea|203446|Avian
green-backed camaroptera|Camaroptera brachyura|Passeriformes|Cisticolidae|Camaroptera|brachyura|559007|Avian
olive-green camaroptera|Camaroptera chloronota|Passeriformes|Cisticolidae|Camaroptera|chloronota|559009|Avian
yellow-browed camaroptera|Camaroptera superciliaris|Passeriformes|Cisticolidae|Camaroptera|superciliaris|559011|Avian
Bactrian camel|Camelus bactrianus|Artiodactyla|Camelidae|Camelus|bactrianus|625026|Non-human Mammal
dromedary camel|Camelus dromedarius|Artiodactyla|Camelidae|Camelus|dromedarius|625027|Non-human Mammal
brown-eared woodpecker|Campethera caroli|Piciformes|Picidae|Campethera|caroli|554007|Avian
rufous-naped wren|Campylorhynchus rufinucha|Passeriformes|Troglodytidae|Campylorhynchus|rufinucha|559033|Avian
band-backed wren|Campylorhynchus zonatus|Passeriformes|Troglodytidae|Campylorhynchus|zonatus|559036|Avian
coyote|Canis latrans|Carnivora|Canidae|Canis|latrans|180559|Non-human Mammal
eastern coyote|Canis latrans x Canis lycaon|Carnivora|Canidae|Canis|latrans|NA|Non-human Mammal
dog|Canis lupus familiaris|Carnivora|Canidae|Canis|lupus familiaris|726821|Non-human Mammal
goat|Capra hircus|Artiodactyla|Bovidae|Capra|hircus|180715|Non-human Mammal
boer goat|Capra hircus aegagrus|Artiodactyla|Bovidae|Capra|hircus aegagrus|898774|Non-human Mammal
European nightjar|Caprimulgus europaeus|Caprimulgiformes|Caprimulgidae|Caprimulgus|europaeus|555569|Avian
gray nightjar|Caprimulgus indicus|Caprimulgiformes|Caprimulgidae|Caprimulgus|indicus|177964|Avian
large-tailed nightjar|Caprimulgus macrurus|Caprimulgiformes|Caprimulgidae|Caprimulgus|macrurus|555578|Avian
northern crested caracara|Caracara cheriway|Falconiformes|Falconidae|Caracara|cheriway|175595|Avian
southern caracara|Caracara plancus|Falconiformes|Falconidae|Caracara|plancus|554146|Avian
southern crested caracara|Caracara plancus|Falconiformes|Falconidae|Caracara|plancus|554146|Avian
Canada warbler|Cardellina canadensis|Passeriformes|Parulidae|Cardellina|canadensis|950079|Avian
Wilson's warbler|Cardellina pusilla|Passeriformes|Parulidae|Cardellina|pusilla|950080|Avian
northern cardinal|Cardinalis cardinalis|Passeriformes|Cardinalidae|Cardinalis|cardinalis|179124|Avian
European goldfinch|Carduelis carduelis|Passeriformes|Fringillidae|Carduelis|carduelis|179226|Avian
carnivore|Carnivora|Carnivora|Unknown|Unknown|Unknown|180539|Non-human Mammal
pinniped|Carnivora|Carnivora|Unknown|Unknown|Unknown|180539|Non-human Mammal
American beaver|Castor canadensis|Rodentia|Castoridae|Castor|canadensis|180212|Non-human Mammal
beaver|Castor sp.|Rodentia|Castoridae|Castor|Unknown|180211|Non-human Mammal
turkey vulture|Cathartes aura|Accipitriformes|Cathartidae|Cathartes|aura|175265|Avian
Bicknell's thrush|Catharus bicknelli|Passeriformes|Turdidae|Catharus|bicknelli|554148|Avian
veery|Catharus fuscescens|Passeriformes|Turdidae|Catharus|fuscescens|179796|Avian
hermit thrush|Catharus guttatus|Passeriformes|Turdidae|Catharus|guttatus|179779|Avian
grey-cheeked thrush|Catharus minimus|Passeriformes|Turdidae|Catharus|minimus|179793|Avian
Swainson's thrush|Catharus ustulatus|Passeriformes|Turdidae|Catharus|ustulatus|179788|Avian
guinea pig|Cavia porcellus|Rodentia|Caviidae|Cavia|porcellus|584713|Non-human Mammal
capuchin monkey|Cebus sp.|Primates|Cebidae|Cebinae|Unknown|552350|Non-human Mammal
lesser striped-swallow|Cecropis abyssinica|Passeriformes|Hirundinidae|Cecropis|abyssinica|916672|Avian
lesser striated swallow|Cecropis daurica|Passeriformes|Hirundinidae|Cecropis|daurica|916675|Avian
red-rumped swallow|Cecropis daurica|Passeriformes|Hirundinidae|Cecropis|daurica|916675|Avian
rufous woodpecker|Celeus brachyurus|Piciformes|Picidae|Celeus|brachyurus|554086|Avian
lesser coucal|Centropus bengalensis|Cuculiformes|Cuculidae|Centropus|bengalensis|554764|Avian
Senegal coucal|Centropus senegalensis|Cuculiformes|Cuculidae|Centropus|senegalensis|554771|Avian
greater coucal|Centropus sinensis|Cuculiformes|Cuculidae|Centropus|sinensis|554758|Avian
Chilean dolphin|Cephalorhynchus eutropia|Cetacea|Delphinidae|Cephalorhynchus|eutropia|180450|Non-human Mammal
pigeon guillemot|Cepphus columba|Charadriiformes|Alcidae|Cepphus|columba|176991|Avian
black guillemot|Cepphus grylle|Aves|Alcidae|Cepphus|grylle|176985|Avian
dusky antbird|Cercomacra tyrannina|Passeriformes|Thamnophilidae|Cercomacra|tyrannina|559118|Avian
De Brazza's monkey|Cercopithecus neglectus|Primates|Cercopithecidae|Cercopithecus|neglectus|573007|Non-human Mammal
rhinoceros auklet|Cerorhinca monocerata|Charadriiformes|Alcidae|Cerorhinca|monocerata|177023|Avian
Eurasian tree-creeper|Certhia familiaris|Passeriformes|Certhiidae|Certhia|familiaris|178795|Avian
pied kingfisher|Ceryle rudis|Coraciiformes|Alcedinidae|Ceryle|rudis|554636|Avian
whale|Cetacea|Cetacea|Unknown|Unknown|Unknown|180403|Non-human Mammal
dwarf kingfisher|Ceyx lecontei|Coraciiformes|Alcedinidae|Ceyx|lecontei|692712|Avian
African pygmy-kingfisher|Ceyx pictus|Coraciiformes|Alcedinidae|Ceyx|pictus|692713|Avian
hispid pocket mouse|Chaetodipus hispidus|Rodentia|Heteromyidae|Chaetodipus|hispidus|552483|Non-human Mammal
short-tailed swift|Chaetura brachyura|Apodiformes|Apodidae|Chaetura|brachyura|178005|Avian
chimney swift|Chaetura pelagica|Apodiformes|Apodidae|Chaetura|pelagica|178001|Avian
ocellated skink|Chalcides ocellatus|Squamata|Scincidae|Chalcides|ocellatus|NA|Other
Carmelite sunbird|Chalcomitra fuliginosa|Passeriformes|Nectariniidae|Chalcomitra|fuliginosa|916405|Avian
wrentit|Chamaea fasciata|Passeriformes|Sylviidae|Chamaea|fasciata|178826|Avian
African chameleon|Chamaeleo africanus|Squamata|Chamaeleoninae|Chamaeleo|africanus|715147|Other
plover|Charadriidae|Charadriiformes|Charadriidae|Unknown|Unknown|176479|Avian
shorebird|Charadriiformes|Charadriiformes|Unknown|Unknown|Unknown|176445|Avian
Kentish plover|Charadrius alexandrinus|Charadriiformes|Charadriidae|Charadrius|alexandrinus|176510|Avian
double-banded plover|Charadrius bicinctus|Charadriiformes|Charadriidae|Charadrius|bicinctus|176525|Avian
collared plover|Charadrius collaris|Charadriiformes|Charadriidae|Charadrius|collaris|176527|Avian
little ringed plover|Charadrius dubius|Charadriiformes|Charadriidae|Charadrius|dubius|176529|Avian
two-banded plover|Charadrius falklandicus|Charadriiformes|Charadriidae|Charadrius|falklandicus|176530|Avian
Forbes's plover|Charadrius forbesi|Charadriiformes|Charadriidae|Charadrius|forbesi|176531|Avian
common ringed plover|Charadrius hiaticula|Charadriiformes|Charadriidae|Charadrius|hiaticula|176504|Avian
greater sandplover|Charadrius leschenaultii|Charadriiformes|Charadriidae|Charadrius|leschenaultii|176532|Avian
piping plover|Charadrius melodus|Charadriiformes|Charadriidae|Charadrius|melodus|176507|Avian
lesser sand-plover|Charadrius mongolus|Charadriiformes|Charadriidae|Charadrius|mongolus|176514|Avian
Eurasian dotterel|Charadrius morinellus|Charadriiformes|Charadriidae|Charadrius|morinellus|176545|Avian
red-capped plover|Charadrius ruficapillus|Charadriiformes|Charadriidae|Charadrius|ruficapillus|176541|Avian
semipalmated plover|Charadrius semipalmatus|Charadriiformes|Charadriidae|Charadrius|semipalmatus|176506|Avian
three-banded plover|Charadrius tricollaris|Charadriiformes|Charadriidae|Charadrius|tricollaris|176543|Avian
killdeer|Charadrius vociferus|Charadriiformes|Charadriidae|Charadrius|vociferus|176520|Avian
Wilson's plover|Charadrius wilsonia|Charadriiformes|Charadriidae|Charadrius|wilsonia|176517|Avian
southern screamer|Chauna torquata|Anseriformes|Anhimidae|Chauna|torquata|553903|Avian
lemur|Cheirogaleidae|Primates|Cheirogaleidae|Unknown|Unknown|572766|Non-human Mammal
snow goose|Chen caerulescens|Anseriformes|Anatidae|Chen|caerulescens|175038|Avian
snow goose-Ross's goose hybrid|Chen caerulescens x Chen rossii|Anseriformes|Anatidae|Chen|caerulescense|NA|Avian
emperor goose|Chen canagica|Anseriformes|Anatidae|Chen|canagica|175042|Avian
Ross's goose|Chen rossii|Anseriformes|Anatidae|Chen|rossii|175041|Avian
Australian wood duck|Chenonetta jubata|Anseriformes|Anatidae|Chenonetta|jubata|175236|Avian
maned duck|Chenonetta jubata|Anseriformes|Anatidae|Chenonetta|jubata|175236|Avian
wood duck|Chenonetta jubata|Anseriformes|Anatidae|Chenonetta|jubata|NA|Avian
bat|Chiroptera|Chiroptera|Unknown|Unknown|Unknown|179985|Non-human Mammal
houbara bustard|Chlamydotis undulata|Gruiformes|Otidae|Chlamydotis|undulata|176432|Avian
whiskered tern|Chlidonias hybrida|Charadriiformes|Laridae|Chlidonias|hybrida|726051|Avian
white-winged tern|Chlidonias leucopterus|Charadriiformes|Laridae|Chlidonias|leucopterus|176958|Avian
black tern|Chlidonias niger|Charadriiformes|Laridae|Chlidonias|niger|176959|Avian
Andean goose|Chloephaga melanoptera|Anseriformes|Anatidae|Chloephaga|melanoptera|175205|Avian
upland goose|Chloephaga picta|Anseriformes|Anatidae|Chloephaga|picta|175206|Avian
ashy-headed goose|Chloephaga poliocephala|Anseriformes|Anatidae|Chloephaga|poliocephala|175207|Avian
ruddy-headed goose|Chloephaga rubidiceps|Anseriformes|Anatidae|Chloephaga|rubidiceps|175208|Avian
European greenfinch|Chloris chloris|Passeriformes|Fringillidae|Chloris|chloris|997806|Avian
American pygmy Kingfisher|Chloroceryle aenea|Coraciiformes|Cerylidae|Chloroceryle|aenea|554639|Avian
Amazon kingfisher|Chloroceryle amazona|Coraciiformes|Cerylidae|Chloroceryle|amazona|554637|Avian
green kingfisher|Chloroceryle americana|Coraciiformes|Cerylidae|Chloroceryle|americana|178112|Avian
simple greenbul|Chlorocichla simplex|Passeriformes|Pycnonotidae|Chlorocichla|simplex|559210|Avian
sulphur-breasted bushshrike|Chlorophoneus sulfureopectus|Passeriformes|Malaconotidae|Chlorophoneus|sulfureopectus|916263|Avian
blue-winged leafbird|Chloropsis cochinchinensis|Passeriformes|Chloropseidae|Chloropsis|cochinchinensis|559225|Avian
blue-tailed emerald|Chlorostilbon mellisugus|Trochiliformes|Trochilidae|Chlorostilbon|mellisugus|555110|Avian
Hoffmann's two-toed sloth|Choloepus hoffmanni|Pilosa|Megalonychidae|Choloepus|hoffmanni|624909|Non-human Mammal
two-toed sloth|Choloepus sp.|Pilosa|Megalonychidae|Choloepus|Unknown|624882|Non-human Mammal
common nighthawk|Chordeiles minor|Caprimulgiformes|Caprimulgidae|Chordeiles|minor|177979|Avian
brown-headed gull|Chroicocephalus brunnicephalus|Charadriiformes|Laridae|Chroicocephalus|brunnicephalus|824033|Avian
grey-headed gull|Chroicocephalus cirrocephalus|Charadriiformes|Laridae|Chroicocephalus|cirrocephalus|824035|Avian
grey-hooded gull|Chroicocephalus cirrocephalus|Charadriiformes|Laridae|Chroicocephalus|cirrocephalus|824035|Avian
slender-billed gull|Chroicocephalus genei|Charadriiformes|Laridae|Chroicocephalus|genei|824036|Avian
brown-hooded gull|Chroicocephalus maculipennis|Charadriiformes|Laridae|Chroicocephalus|maculipennis|824038|Avian
silver gull|Chroicocephalus novaehollandiae|Charadriiformes|Laridae|Chroicocephalus|novaehollandiae|824039|Avian
Bonaparte's gull|Chroicocephalus philadelphia|Charadriiformes|Laridae|Chroicocephalus|philadelphia|824040|Avian
black-headed gull|Chroicocephalus ridibundus|Charadriiformes|Laridae|Chroicocephalus|ridibundus|824041|Avian
dideric cuckoo|Chrysococcyx caprius|Cuculiformes|Cuculidae|Chrysococcyx|caprius|554713|Avian
white stork|Ciconia ciconia|Ciconiiformes|Ciconiidae|Ciconia|ciconia|174907|Avian
maguari stork|Ciconia maguari|Ciconiiformes|Ciconiidae|Ciconia|maguari|559261|Avian
olive-bellied sunbird|Cinnyris chloropygius|Passeriformes|Nectariniidae|Cinnyris|chloropygius|916418|Avian
copper sunbird|Cinnyris cupreus|Passeriformes|Nectariniidae|Cinnyris|cupreus|916459|Avian
olive-backed sunbird|Cinnyris jugularis|Passeriformes|Nectariniidae|Cinnyris|jugularis|916461|Avian
beautiful sunbird|Cinnyris pulchellus|Passeriformes|Nectariniidae|Cinnyris|pulchellus|916435|Avian
northern double-collared sunbird|Cinnyris reichenowi|Passeriformes|Nectariniidae|Cinnyris|reichenowi|916426|Avian
superb sunbird|Cinnyris superbus|Passeriformes|Nectariniidae|Cinnyris|superbus|916451|Avian
western marsh harrier|Circus aeruginosus|Accipitriformes|Accipitridae|Circus|aeruginosus|559297|Avian
hen harrier|Circus cyaneus|Accipitriformes|Accipitridae|Circus|cyaneus|175430|Avian
northern harrier|Circus cyaneus|Accipitriformes|Accipitridae|Circus|cyaneus|175430|Avian
American harrier|Circus cyaneus hudsonius|Accipitriformes|Accipitridae|Circus|cyaneus hudsonius|175431|Avian
harrier|Circus sp.|Accipitriformes|Accipitridae|Circus|Unknown|175429|Avian
chattering cisticola|Cisticola anonymus|Passeriformes|Cisticolidae|Cisticola|anonymus|559309|Avian
short-winged cisticola|Cisticola brachypterus|Passeriformes|Cisticolidae|Cisticola|brachypterus|559313|Avian
siffling cisticola|Cisticola brachypterus|Passeriformes|Cisticolidae|Cisticola|brachypterus|559313|Avian
red-faced cisticola|Cisticola erythrops|Passeriformes|Cisticolidae|Cisticola|erythrops|559327|Avian
golden-headed cisticola|Cisticola exilis|Passeriformes|Cisticolidae|Cisticola|exilis|559328|Avian
winding cisticola|Cisticola galactotes|Passeriformes|Cisticolidae|Cisticola|galactotes|559331|Avian
zitting cisticola|Cisticola juncidis|Passeriformes|Cisticolidae|Cisticola|juncidis|559335|Avian
cisticola|Cisticola sp.|Passeriformes|Cisticolidae|Cisticola|Unknown|557545|Avian
long-tailed duck|Clangula hyemalis|Anseriformes|Anatidae|Clangula|hyemalis|175147|Avian
brown twinspot|Clytospiza monteiri|Passeriformes|Estrildidae|Clytospiza|monteiri|559370|Avian
hawfinch|Coccothraustes coccothraustes|Passeriformes|Fringillidae|Coccothraustes|coccothraustes|179170|Avian
yellow-billed cuckoo|Coccyzus americanus|Cuculiformes|Cuculidae|Coccyzus|americanus|177831|Avian
black-billed cucktoo|Coccyzus erythropthalmus|Cuculiformes|Cuculidae|Coccyzus|erythropthalmus|177834|Avian
bananaquit|Coereba flaveola|Passeriformes|Thraupidae|Coereba|flaveola|179900|Avian
northwestern flicker|Colaptes auratus|Piciformes|Picidae|Colaptes|auratus|178154|Avian
green-barred woodpecker|Colaptes melanochloros|Piciformes|Picidae|Colaptes|melanochloros|554080|Avian
crested bobwhite|Colinus cristatus|Galliformes|Odontophoridae|Colinus|cristatus|175869|Avian
northern bobwhite|Colinus virginianus|Galliformes|Odontophoridae|Colinus|virginianus|175863|Avian
speckled mousebird|Colius striatus|Coliiformes|Coliidae|Colius|striatus|554666|Avian
western jackdaw|Coloeus monedula|Passeriformes|Corvidae|Coloeus|monedula|916629|Avian
white-collared pigeon|Columba albitorques|Columbiformes|Columbidae|Columba|albitorques|177073|Avian
common pigeon|Columba livia|Columbiformes|Columbidae|Columba|livia|NA|Avian
pigeon|Columba livia|Columbiformes|Columbidae|Columba|livia|NA|Avian
rock pigeon|Columba livia|Columbiformes|Columbidae|Columba|livia|177071|Avian
