#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
northern lapwing|Vanellus vanellus|Charadriiformes|Charadriidae|Vanellus|vanellus|176481|Avian
desert monitor|Varanus griseus|Squamata|Varanidae|Varanus|griseus|202167|Other
red ruffed lemur|Varecia rubra|Primates|Lemuridae|Varecia|rubra|944080|Non-human Mammal
black-and-white ruffed lemur|Varecia variegata|Primates|Lemuridae|Varecia|variegata|572873|Non-human Mammal
alpaca|Vicugna pacos|Artiodactyla|Camelidae|Vicugna|pacos|898279|Non-human Mammal
pin-tailed whydah|Vidua macroura|Passeriformes|Viduidae|Vidua|macroura|179625|Avian
Cassin's vireo|Vireo cassinii|Passeriformes|Vireonidae|Vireo|cassinii|554456|Avian
yellow-throated vireo|Vireo flavifrons|Passeriformes|Vireonidae|Vireo|flavifrons|179009|Avian
eastern warbling-vireo|Vireo gilvus|Passeriformes|Vireonidae|Vireo|gilvus|179023|Avian
warbling vireo|Vireo gilvus|Passeriformes|Vireonidae|Vireo|gilvus|179023|Avian
white-eyed vireo|Vireo griseus|Passeriformes|Vireonidae|Vireo|griseus|178991|Avian
red-eyed vireo|Vireo olivaceus|Passeriformes|Vireonidae|Vireo|olivaceus|179021|Avian
Philadelphia vireo|Vireo philadelphicus|Passeriformes|Vireonidae|Vireo|philadelphicus|179022|Avian
blue-black grassquit|Volatinia jacarina|Passeriformes|Thraupidae|Volatinia|jacarina|563697|Avian
red fox|Vulpes vulpes|Carnivora|Canidae|Vulpes|vulpes|180604|Non-human Mammal
fennec fox|Vulpes zerda|Carnivora|Canidae|Vulpes|zerda|621865|Non-human Mammal
Andean condor|Vultur gryphus|Accipitriformes|Cathartidae|Vultur|gryphus|175279|Avian
yellow-headed blackbird|Xanthocephalus xanthocephalus|Passeriformes|Icteridae|Xanthocephalus|xanthocephalus|179043|Avian
Sabine's gull|Xema sabini|Charadriiformes|Laridae|Xema|sabini|176866|Avian
green manakin|Xenopipo holochlora|Passeriformes|Pipridae|Xenopipo|holochlora|711481|Avian
terek sandpiper|Xenus cinereus|Charadriiformes|Scolopacidae|Xenus|cinereus|176718|Avian
